zaxpy	100000	1.00438	0.00343527	0.00345032	0.00355097
zaxpy	100000	1.00929	0.00342406	0.00345587	0.0035548
zaxpy	100000	1.00299	0.00344846	0.00345877	0.00356297
zaxpy	100000	1.00555	0.00344338	0.0034625	0.00356688
zaxpy	100000	1.00103	0.00345171	0.00345525	0.00355411
zaxpy	100000	1.00121	0.00344145	0.0034456	0.00355553
zaxpy	100000	1.00408	0.00346072	0.00347485	0.00357855
zaxpy	100000	1.00577	0.00343138	0.00345116	0.00354709
zaxpy	100000	1.00134	0.00343989	0.00344451	0.00355351
zaxpy	100000	1.00292	0.0034401	0.00345013	0.0035605
