asum	100000	0.990751	0.000798323	0.000790939	0.00864557
asum	100000	1.00153	0.000790469	0.000791676	0.00864505
asum	100000	0.996498	0.00079386	0.00079108	0.00865166
asum	100000	0.999968	0.000784357	0.000784332	0.00864562
asum	100000	1.01068	0.00078611	0.000794502	0.00864327
asum	100000	0.994807	0.000785228	0.00078115	0.00864483
asum	100000	0.998391	0.000793835	0.000792557	0.00864987
asum	100000	1.00776	0.000787287	0.000793394	0.00864515
asum	100000	0.994721	0.000799871	0.000795648	0.00864401
asum	100000	1.00573	0.000790929	0.000795458	0.00864502
