dzasum	1000	1.02622	0.000838997	0.000860994	0.0173976
dzasum	1000	1.02731	0.000839428	0.00086235	0.0174082
dzasum	1000	1.02907	0.000837875	0.000862231	0.0173986
dzasum	1000	1.02776	0.00083781	0.000861063	0.017394
dzasum	1000	1.02449	0.000839813	0.000860382	0.0174044
dzasum	1000	1.02527	0.000839263	0.000860468	0.0174043
dzasum	1000	1.02503	0.000838807	0.000859801	0.0173975
dzasum	1000	1.02642	0.000839659	0.00086184	0.0173927
dzasum	1000	1.02564	0.000839233	0.000860754	0.0174056
dzasum	1000	1.02712	0.00083836	0.000861098	0.0174018
