iamax	3000	1.10966	0.000698367	0.00142134	0.00077495
iamax	3000	1.12027	0.00068997	0.00139882	0.000772951
iamax	3000	1.10105	0.000701403	0.00137656	0.000772281
iamax	3000	1.11575	0.000685107	0.00151033	0.000764406
iamax	3000	1.10494	0.00069216	0.00148685	0.000764796
iamax	3000	1.11523	0.000701227	0.00136807	0.000782029
iamax	3000	1.13468	0.000685593	0.00144761	0.000777926
iamax	3000	1.10018	0.000698232	0.00142765	0.000768183
iamax	3000	1.1113	0.000691344	0.00135144	0.000768293
iamax	3000	1.10465	0.000697695	0.00135413	0.000770707
