zscal	300000	1.03617	0.00194624	0.00211927	0.00201663
zscal	300000	1.03656	0.0019414	0.00211584	0.00201238
zscal	300000	1.04906	0.00195875	0.00212551	0.00205484
zscal	300000	1.03664	0.00194627	0.00211142	0.00201758
zscal	300000	1.05312	0.0019395	0.00210421	0.00204253
zscal	300000	1.03405	0.00195276	0.00212219	0.00201925
zscal	300000	1.03943	0.00194814	0.00210388	0.00202496
zscal	300000	1.04205	0.00194068	0.00209869	0.00202228
zscal	300000	1.05027	0.00194322	0.00211095	0.0020409
zscal	300000	1.03992	0.00194612	0.00212415	0.00202382
