scal	100000	1.00924	0.000845033	0.000852843	0.000948462
scal	100000	1.02596	0.000848845	0.000870881	0.000943433
scal	100000	1.02684	0.000835646	0.000858077	0.000931621
scal	100000	1.01612	0.000838806	0.000852326	0.000944364
scal	100000	1.00473	0.000841647	0.000845629	0.000929652
scal	100000	1.02076	0.000832169	0.000849441	0.000929632
scal	100000	1.01216	0.000839483	0.000849687	0.000937867
scal	100000	1.02057	0.000829484	0.000846546	0.000938199
scal	100000	1.01307	0.000824519	0.0008353	0.000930598
scal	100000	1.01199	0.000838656	0.000848715	0.000943894
