axpy	1000000	0.997167	0.00882679	0.00880179	0.00906598
axpy	1000000	0.973028	0.00898701	0.00874462	0.00882043
axpy	1000000	0.964501	0.00915294	0.00882803	0.00885686
axpy	1000000	0.989967	0.00913804	0.00904636	0.0092778
axpy	1000000	0.9706	0.00919887	0.00892843	0.00912513
axpy	1000000	0.960088	0.00892252	0.0085664	0.00917799
axpy	1000000	0.98201	0.00885603	0.00869672	0.00892412
axpy	1000000	0.94987	0.00913513	0.00879199	0.00867719
axpy	1000000	0.960566	0.00899062	0.00863608	0.00874516
axpy	1000000	0.959682	0.00915432	0.00878524	0.00910251
